Year,Season,Date,SiteID,TransectID,PlotID,Lat,Long,Distance,Elevation,Subplot,Rep,Species,% Cover,Calc. % Cover,density_raw,Density_adj,Canopy Height_m,lg_burrow_raw,lg_burrow_adj,sm_burrow_raw,sm_burrow_adj,Diameter,Height,comments,observer,date_entered,entered_by,date_checked,checked_by
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Spartina alterniflora,40,34,,NA,0.6,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Batis maritima,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Sarcocornia perennis,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Juncus roemerianus,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Distichlis spicata,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Avicennia germinans,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,1,29.821484,-81.288791,0,NA,NA,1,Unvegetated,60,66,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Spartina alterniflora,75,47,,NA,0.8,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Batis maritima,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Sarcocornia perennis,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Juncus roemerianus,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Distichlis spicata,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Avicennia germinans,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,2,29.821437,-81.288815,6,NA,NA,1,Unvegetated,25,53,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Spartina alterniflora,65,42,,NA,0.77,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Batis maritima,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Sarcocornia perennis,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Juncus roemerianus,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Distichlis spicata,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Avicennia germinans,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,3,29.821416,-81.288838,10,NA,NA,1,Unvegetated,35,58,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Spartina alterniflora,45,37,,NA,0.7,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Batis maritima,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Sarcocornia perennis,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Juncus roemerianus,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Distichlis spicata,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Avicennia germinans,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,4,29.821427,-81.288849,10,NA,NA,1,Unvegetated,55,63,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Spartina alterniflora,40,35,,NA,0.65,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Batis maritima,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Sarcocornia perennis,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Juncus roemerianus,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Distichlis spicata,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Avicennia germinans,50,25,,NA,1.35,NA,,NA,,NA,1.35,,,,,,
2012,Fall,7/17/2012,22,A,5,29.821457,-81.288849,6,NA,NA,1,Unvegetated,10,40,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,B,1,29.821542,-81.289043,0,NA,NA,1,Batis maritima,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,B,1,29.821542,-81.289043,0,NA,NA,1,Sarcocornia perennis,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,B,1,29.821542,-81.289043,0,NA,NA,1,Juncus roemerianus,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,B,1,29.821542,-81.289043,0,NA,NA,1,Distichlis spicata,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,B,1,29.821542,-81.289043,0,NA,NA,1,Avicennia germinans,0,0,,NA,0,NA,,NA,,NA,NA,,,,,,
2012,Fall,7/17/2012,22,B,1,29.821542,-81.289043,0,NA,NA,1,Unvegetated,80,53,,NA,0,NA,,NA,,NA,NA,,,,,,
